序号,题干
2,如果一个命题的逆命题是真命题，那么这个命题的(   )
3,若抛物线y=（x-2m）²+3m-1（m是常数）与直线y=x+1有两个交点，且这两个交点分别在抛物线对称轴的两侧，则的取值范围是（ ）
6,下列命题：①空集没有子集；②任何集合至少有两个子集；③空集是任何集合的真子集；④若∅⊊A，则A≠∅，其中正确的有（　　）
15, 下列说法错误的是（  ）．
18,下列方程组中，是二元一次方程组的是（　　）
21,如果函数y=kx+b(k≠0)的图象在第一、二、三象限，那么函数y=kx²+bx+1的图象大致为（   ）.
23,下列影子是中心投影的是（  ）．
26,若__img81.jpg分别是关于x的2次多项式与3次多项式，则__img82.jpg（ ）
32,3的倒数是
33,有一块等边三角形木板，边长为1，现将木板沿水平线翻滚（如下图），那么，B点从开始至结束所走过的路径长度为（     ）。
39,在△ABC中，若__img126.jpg，则下列说法中正确的是（   ）
40,下列所给的事件中，是必然事件的是（  ）.
51,运用等式性质进行的变形，正确的是（）
52,某校九年级共有1、2、3、4四个班，现从这四个班中随机抽取两个班进行一场篮球比赛，则恰好抽到1班和2班的概率是（　　）．
53,在1，3，5，7，9中，任取出两个数，组成一个奇数的两位数，这一事件是（   ）．
56,同一灯光下两个物体的影子可以是（  ）
60,以下4道计算题：①（﹣1）2015=2015；②0﹣（﹣1）=﹣1；③__img195.jpg；④__img196.jpg．过程及结果都正确的是（　）
61,下列方程组中，是二元一次方程组的是（ ）.
69,下列各选项中，线段的长度能组成直角三角形的是（  ）.
71,下列各式中，能用完全平方公式分解因式的是（  ）．
74,对于数字0.00465精确到0.001取得的近似值是（  ）
77,4.函数y=|x|-1的单调减区间为
79,通过电视课堂学习的中小学生迅速增加，2015年12月8日0时至24时，高清交互数字电视平台“北京数字学校”栏目总访问量超过1010000次，将1010000用科学记数法表示为（　）
81,向东行进-30米表示的意义是（）
83,下列命题：①两条对角线相等的四边形是矩形；②两条对角线垂直的四边形是菱形；③两条对角线垂直且相等的四边形是正方形；④两条对角线相等且互相平分的四边形是矩形．其中是真命题是（    ）.
84,下列可以说明△ABC为等边三角形的是（  ）．
88,如图，已知BC是圆柱底面的直径，AB是圆柱的高.一只蜗牛从A点出发，绕圆柱的侧面爬行到C点，再回到A点时所爬过的最短路线的痕迹如图所示.若将圆柱侧面沿AB剪开，所得的圆柱侧面展开图是（   ）.__img279.jpeg
90,下列调查中，适宜采用抽样调查方式的是（    ）
93,函数f(x)＝lnx＋x³－9的零点所在的区间为(　　)
98,一辆汽车沿着一山坡行驶了1000m，其铅直高度上升了50m.则此山坡的坡度是(  )．
101,下面哪个图形不一定是轴对称图形（   ）.
102,下列说法，正确的是（　　）
103,"学校准备修建一个面积为200平方米的矩形花圃，它的长比宽多10米.设花圃的长是x米,宽是y米,则可列方程：①x(x－10)=200,②y(y＋10)=200,③xy＋10=200,④xy－10=200.以上4种列法中正确的个数为(   )."
104,如图，⊙O的半径为4，将⊙O的一部分沿着弦AB翻折，劣弧恰好经过圆心O.则折痕AB的长为（  ）__img334.jpg 
106,0是（ ）
108, 平行投影中的光线是（ ）.
116,若关于x的一元二次方程方程（k﹣1）x2+4x+1=0有两个不相等的实数根，则k的取值范围是（　　）
120,关于方程x2＋2x＋3=0下列说法正确的是(   ).
124,"如图，AB交CD于点O,OE是端点为O的一条射线，图中的对顶角和邻补角各有（   ）"
125,下列事件中，必然事件是（　　）
126,下列运算正确的是
128,一个不透明的盒子里有n个除颜色外其它完全相同的小球，其中有6个黄球．每次摸球前先将盒子里的球摇匀，任意摸出一个球记下颜色后在放回盒子，通过大量重复摸球实验后发现，摸到黄球的频率稳定在30%，那么可以推算出n大约是（　　）．
133,计算2–（–3）×4的结果是（）
136,在Rt△ABC中，∠C=90º，下列说法中①∠A+∠B=90º；②∠A+∠B+∠C=180º；③∠A+∠C=135º，正确的有（ ）
137,为了举行班级晚会，小张同学准备去商店购买20个乒乓球做道具，并买一些乒乓球拍做奖品 . 已知乒乓球每个1.5元，球拍每个25元，如果购买金额不超过200元，且买的球拍尽可能多，那么小张同学应该买的球拍的个数是（ ）.
138,下列说法一定正确的是（  ）
143,下列各项中同一函数的是（  ）
144,当A地高于海平面152米时，记作“海拔+152米”，那么B地低于海平面23米时，记作（）
150,“a≤0”是“函数f(x)＝|(ax－1)x|在区间(0，＋∞)内单调递增”的( )
154,如图，物华大厦离小伟家60m，小伟从自家的窗中眺望大厦，并测得大厦顶部的仰角是45°，而大厦底部的俯角是37°，则该大厦的高度为
156,下面是两户居民家庭全年各项支出的统计图.根据统计图，下列对两户教育支出占全年总支出的百分比作出的判断中，正确的是（   ）
158,一个面积为18的正方形边长是（  ）
159,在Rt△ABC中，∠C=90°，sinB=5/13，则tanA的值是( )．  
161,某人沿着倾斜角为α的斜坡前进100米，则他上升的最大高度是(  )．
162,一种面粉的质量标识为“50±0.25千克”，则下列面粉质量中合格的是（ ）
166,（2019年，海淀期中）抛物线y=x²+1的对称轴是  （ ）
169,已知∠1=17°18′，∠2=17.8°，∠3=17.3°，下面结论正确的是（   ）
174,如图，下列语句正确的是（    ）．
177,下列各式是最简二次根式的是（  ）．
184,函数y＝\(\sqrt{x+1}\)的值域为(　　)
186,将一个直角三角形绕它的最长边（斜边）旋转一周得到的几何体为（   ）
188,下列说法错误的是（　　）.
197,1．对于函数y＝f(x)，以下说法正确的有(　　)①y是x的函数②对于不同的x，y的值也不同③f(a)表示当x＝a时函数f(x)的值，是一个常量④f(x)一定可以用一个具体的式子表示出来
199,下列命题为特称命题的是（ ）
200,王叔叔自驾车上班，开始时匀速行驶，途中因交通拥堵有一段时间无法行驶，拥堵结束后为了赶时间提高了速度.下面图（ ）描述的是王叔叔上班途中的情况.
203,函数y＝\(\sqrt{1-x}+\sqrt{x}\)＋的定义域为(　　)
