1,阅读《天鹅》的节选内容回答下列问题天鹅在水上为王是凭着一切足以缔造太平世界的美德如高尚、尊严、仁厚等等；它有威势有力量有勇气但又有不滥用权威的意志、非自卫不用武力的决心它能战斗能取胜却从不攻击别人天鹅的面目优雅、形状妍美与它那种天性的温和正好相称；俊秀的身段圆润的形貌优美的线条皎洁的白色婉转的、传神的动作忽而兴致勃发忽而悠然忘形的姿态凡是它所到之处它都成了这地方的点缀品使这地方美化我们看见它那种雍容自在的样子；看见它在水上活动得那么轻便、那么自由就不能不承认它不但是羽族里第一名善航者并且是大自然提供给我们的航行术的最美的模型可不是么它的颈子高高的胸脯挺挺的、圆圆的就仿佛是破浪前进的船头；它的宽广的腹部就像船底；它的身子为了便于疾驶向前倾着愈向后就愈挺起最后翘得高高的就像船舳；尾巴是地道的舵；脚就是宽阔的桨；它的一对大翅膀在风前半张着微微地鼓起来这就是帆它们推着这艘活的船舶连船带驾驶者一起推着跑天鹅在一切方面都高于家鹅一等家鹅只以野草和籽粒为生天鹅却会找到一种比较精美的、不平凡的食料；它不断地用妙计捕捉鱼类；它作出无数的不同姿态以求捕捉的成功并尽量利用它的灵巧与气力它会避开或抵抗它的敌人：一只老天鹅在水里连一匹最强大的狗它也不怕；它用翅膀一击连人腿都能打断其迅疾、猛烈可想而知总之天鹅似乎是不怕任何暗算、任何攻击的因为它的勇敢程度不亚于它的灵巧与气力在天鹅的鸣叫里或者宁可说在它的嘹唳里可以听得出一种有节奏有曲折的歌声有如军号的响亮在它要断气的时候会发出这样柔和、动人的声调对生命作一个哀痛而深情的告别这种声调如怨如诉低沉地、悲伤地、凄黯地构成它自己的丧歌人们可以听到这种歌声是在朝暾初上风浪既平的时候；甚至于有人还看到许多天鹅唱着自己的挽歌在音乐声中气绝了……因此每逢谈到一个大天才临终前所作的最后一次飞扬、最后一次辉煌表现的时候人们总是无限感慨地想到这样一句动人的话语：“这是天鹅之歌！”针对以上材料的内容下列表述不正确的一项是 A、材料介绍了天鹅高贵优雅的面貌姿态。B、材料介绍了天鹅雍容自在的航行模样。C、材料介绍了天鹅灵巧多样的捕食本领。D、材料介绍了天鹅凄惨难听的鸣叫声音。
2,下面四个选项中描绘春天里小动物的情态的诗句是 A、千山鸟飞绝，万径人踪灭B、泥融飞燕子，沙暖睡鸳鸯C、阳春布德泽，万物生光辉D、随风潜入夜，润物细无声
3,班里同学们共读小说《钢铁是怎样炼成》在交流分享活动中小鹏的任务是介绍小说的人物和内容下面是小鹏准备好的介绍内容请你帮他把把关把其中有错误的一项找出来 A、主人公保尔个性倔强，充满青春活力，不畏困难，勇敢坚强，意志坚定。对共产主义事业抱着坚定不移的信念，是在革命斗争中锻炼、在党的教育下成长的共产主义战士。B、小说讲述了保尔·柯察金从一个不懂事的少年成为一个勇敢的布尔什维克战士的过程。从军期间，他凭着毅力，在劳动、战斗、工作各方面严格要求自己，终于锻炼成具有崇高理想、坚毅品格的革命战士。C、费奥多尔·朱赫来是一个老布尔什维克，他对保尔思想的成长起到了决定性的作用。他无私，遇事沉着，有主见，认真负责，雷厉风行。D、达雅·柯察金娜是保尔·柯察金的初恋女友，她曾把《牛虻》这部小说介绍给保尔·柯察金看，这部书对保尔的思想有一定的启发。保尔是在偶然的相遇里认识达雅的。
4,一位著名的书法家到塞北大漠旅行当地人请他留下墨宝书法家想用两句诗来赞美眼前的壮美风光你认为以下诗句中哪一项最恰当 A、大漠孤烟直，长河落日圆。B、塞下秋来风景异，衡阳雁去无留意。C、黑云压城城欲摧，甲光向日金鳞开。D、晴川历历汉阳树，芳草萋萋鹦鹉洲。
5,同学们在研读《红楼梦》时发现通过贾宝玉在太虚幻境看到的判词我们能从中窥察到判词所对应的人物命运下面所列判词内容和人物对应有误的一项是 A、子系中山狼，得志便猖狂。金闺花柳质，一载赴黄粱。——迎春B、情天情海幻情身，情既相逢必主淫。漫言不肖皆荣出，造衅开端实在宁。——秦可卿C、勘破三春景不长，缁衣顿改昔年妆。可怜绣户侯门女，独卧青灯古佛旁。——惜春D、根并荷花一茎香，平生遭际实堪伤。自从两地生孤木，致使香魂返故乡。——林黛玉
6,在班级古诗文背诵竞赛活动中一位同学情急之下出现了口误作为记分员请你判断一下以下哪位同学不能得分 A、开轩面场圃，把酒话桑麻。B、征蓬出汉塞，归雁洛阳边。C、两岸青山相对出，孤帆一片日边来。D、窗含西岭千秋雪，门泊东吴万里船。
7,下列选项对题目理解有错误的是 A、文章写到“那年的冬天特别冷”多次写到孩子们被冻的样子，突出天气的寒冷，与文章题目形成反差，更突出了我做这件事的意义。B、作为文章的线索贯穿全文，结尾点题，深化了主题。C、我送给孩子们咸菜瓶装热水，温暖了孩子们的小手，也温暖了我自己，感觉这个冬天不太冷。D、用自己的一份爱心融化了与孩子之间的距离，拉近了彼此的关系，我还能感觉到自己的价值，所以觉得这个冬天不太冷。
8,“安徒生童话乐园”就要开园了里面有《安徒生童话》中各种经典形象的造型下列哪一个形象不应出现在这个乐园中 A、历经磨难的丑小鸭B、美丽善良的小美人鱼C、小巧可爱的拇指姑娘D、淘气任性的匹诺曹
9,“朝游花果山暮宿水帘洞合契同情不入飞鸟之丛不从走兽之类独自为王不胜欢乐”从中可以看出孙悟空在花果山的日子是自由自在的但孙悟空为什么一心一意跟随唐僧西天取经呢？下面原因分析不合理的一项是 A、孙悟空是一个有情有义、做事有始有终的人。B、孙悟空害怕不取经而招致唐僧念紧箍咒。C、孙悟空具有勇猛顽强、无畏无惧的斗争精神。D、孙悟空也拥有道教长生不老、寿与天齐的幸福观。
10,"阅读下面两段文字完成1315题北山愚公者年且九十面山而居惩山北之塞出入之迂也聚室而谋曰：“吾与汝毕力平险指通豫南达于汉阴可乎？”杂然相许其妻献疑曰：“以君之力曾不能损魁父之丘如太行、王屋何？且焉置土石？”杂曰：“投诸渤海之尾隐土之北”遂率子孙荷担者三夫叩石垦壤箕畚运于渤海之尾邻人京城氏之孀妻有遗男始龀跳往助之寒暑易节始一反焉河曲智叟笑而止之曰：“甚矣汝之不惠以残年余力曾不能毁山之一毛其如土石何？”北山愚公长息曰：“汝心之固固不可彻曾不若孀妻弱子虽我之死有子存焉；子又生孙孙又生子；子又有子子又有孙；子子孙孙无穷匮也而山不加增何苦而不平？”河曲智叟亡以应（节选自列御寇《愚公移山》）勾践之困会稽①也喟然②叹曰：“吾终于此乎?”……吴既赦越越王勾践反国乃苦身焦思置胆于坐③坐卧即仰胆饮食亦尝胆也曰：“女④忘会稽之耻耶?”身自耕作夫人自织食不加肉衣不重采折节下贤人⑤厚遇宾客赈贫吊死与百姓同其劳（节选《史记·越王勾践世家》）注：①会稽：今浙江绍兴市②喟然：感叹的样子③坐：同""座""④女：同""汝""⑤折节下贤人：放下架子把自己放在有德才的人的下面下列加点字的意思相同的一项是 A、年且九十苟且偷生B、指通豫南首屈一指C、固不可彻固执己见D、杂然相许以身许国"
