9012_0,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###He showedcourage at difficult times, which helped him to succeed###extraordinary"
9012_1,阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###The color blue in some culturebad mood###represents
9012_2,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###She had always planned to train her daughter in playing some, but her daughter showed no interest in music at all###instrument/instruments"
9012_3,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###Some medicine has a side. So before you take it, ask your doctor for advice###effect"
9012_4,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###I am sorry if this is going toyou, but you failed the test###disappoint"
9012_5,阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###I wassad when I heard the news of her departure. I am afraid I might never see her again###extremely
9014_0,"阅读下面短文根据短文意思选择最佳答案When he was a little child, Arthur, Jr. often leaned against a tree and watched the players on the tennis court. One player hit the ball over and sent it back. A young Arthur swung his arm as if he were playing tennis too. “I bet I could hit it really hard,” he thought.Arthur lived near a large park in Richmond, Virginia. His father was the manager of the park. He took care of the park and made sure everything was right. Arthur lived with his father and his brother.Arthur was allowed to play in the park when he was seven years old. He was small and athletic. A swimming pool, tennis courts, and baseball diamonds were in the park. Arthur spent a lot of time playing there. He did well in sports, but he had never tried to play tennis.He often watched the tennis players. Sometimes there were tennis lessons being given, and Arthur would watch even more carefully. The young man teaching the lessons noticed Arthur. His name was Ronald Charity.Mr. Charity asked Arthur if he wanted to learn to play tennis. Arthur was excited. Soon he was hitting the ball back and forth with Mr. Charity. Arthur was very fast and hit the ball hard. Mr. Charity could see that Arthur would grow up to be a good tennis player. By the time he was ten, Arthur won a tournament. Many older and bigger players came to the park trying to win the prize, but Arthur beat them. He became known as “the kid who could play tennis.”Arthur grew up to be one of the first successful AfricanAmerican tennis players. He played and won all over the world. Arthur Ashe was more than an amazing tennis player, though. He started a program that gave children living in cities a chance to learn how to play tennis. He cared about people. He often spoke about how important it is to be fair to everyone###Arthur was a famous AfricanAmerican ###A、doctorB、lawyerC、pilotD、tennis player "
9014_1,"阅读下面短文根据短文意思选择最佳答案When he was a little child, Arthur, Jr. often leaned against a tree and watched the players on the tennis court. One player hit the ball over and sent it back. A young Arthur swung his arm as if he were playing tennis too. “I bet I could hit it really hard,” he thought.Arthur lived near a large park in Richmond, Virginia. His father was the manager of the park. He took care of the park and made sure everything was right. Arthur lived with his father and his brother.Arthur was allowed to play in the park when he was seven years old. He was small and athletic. A swimming pool, tennis courts, and baseball diamonds were in the park. Arthur spent a lot of time playing there. He did well in sports, but he had never tried to play tennis.He often watched the tennis players. Sometimes there were tennis lessons being given, and Arthur would watch even more carefully. The young man teaching the lessons noticed Arthur. His name was Ronald Charity.Mr. Charity asked Arthur if he wanted to learn to play tennis. Arthur was excited. Soon he was hitting the ball back and forth with Mr. Charity. Arthur was very fast and hit the ball hard. Mr. Charity could see that Arthur would grow up to be a good tennis player. By the time he was ten, Arthur won a tournament. Many older and bigger players came to the park trying to win the prize, but Arthur beat them. He became known as “the kid who could play tennis.”Arthur grew up to be one of the first successful AfricanAmerican tennis players. He played and won all over the world. Arthur Ashe was more than an amazing tennis player, though. He started a program that gave children living in cities a chance to learn how to play tennis. He cared about people. He often spoke about how important it is to be fair to everyone###Why did Mr. Charity ask Arthur if he wanted to learn to play tennis###Possible answers: He noticed Arthur watched even more carefully while he was teaching the lessons."
9014_2,"阅读下面短文根据短文意思选择最佳答案When he was a little child, Arthur, Jr. often leaned against a tree and watched the players on the tennis court. One player hit the ball over and sent it back. A young Arthur swung his arm as if he were playing tennis too. “I bet I could hit it really hard,” he thought.Arthur lived near a large park in Richmond, Virginia. His father was the manager of the park. He took care of the park and made sure everything was right. Arthur lived with his father and his brother.Arthur was allowed to play in the park when he was seven years old. He was small and athletic. A swimming pool, tennis courts, and baseball diamonds were in the park. Arthur spent a lot of time playing there. He did well in sports, but he had never tried to play tennis.He often watched the tennis players. Sometimes there were tennis lessons being given, and Arthur would watch even more carefully. The young man teaching the lessons noticed Arthur. His name was Ronald Charity.Mr. Charity asked Arthur if he wanted to learn to play tennis. Arthur was excited. Soon he was hitting the ball back and forth with Mr. Charity. Arthur was very fast and hit the ball hard. Mr. Charity could see that Arthur would grow up to be a good tennis player. By the time he was ten, Arthur won a tournament. Many older and bigger players came to the park trying to win the prize, but Arthur beat them. He became known as “the kid who could play tennis.”Arthur grew up to be one of the first successful AfricanAmerican tennis players. He played and won all over the world. Arthur Ashe was more than an amazing tennis player, though. He started a program that gave children living in cities a chance to learn how to play tennis. He cared about people. He often spoke about how important it is to be fair to everyone###What can show Arthur was more than an amazing tennis player###Possible answers:He not only succeeded in playing tennis but also cared about people/ gave children living in cities a chance to learn how to play tennis."
9016_0,"Read the passage and finish the following tasks.Yesterday's paper had a short article about the ComingofAgeceremony in a large city in Japan. According to the article, the mayor of the city formally apologized to an enraged professor who delivered a speech at the ceremony that was all but ignored by 20yearolds in the city.The officials prepared 7,000 seats in a gymnasium where the ceremony was held for the 17,000 twentyyearolds residing in the city. But most of the seats were empty during the speech. And many of the 20yearolds who did show up ignored the professor and spoke among themselves or talked on their mobile phones. Some even made a ruckus (骚动) outside the gymnasium.One 20yearold who attended the ceremony said youngsters came to the ceremony not to listen to speeches but to see their classmates. The mayor criticized the young generation at a news conference on Tuesday, saying such behavior ""issymbolic of the postwar era which failed to nurture healthy character and social intelligence.""Personally I feel people should not generalize the whole generation or the whole era when he criticizes something. But it is also true generation gap is getting bigger and bigger regarding the ceremony of ComingofAge Day. So far this ceremony has been held with citizens' tax money. Many older generations understand this festival as an entrance ceremony of adults' world which requires maturity including responsibility, patience, and cooperativeness. Older people tend to be ""educational"" to younger ones, while younger people tend to feel they finally obtain a right to behave freely because they are now adults. Though, ironically, young people have to ask their parents to buy them new clothes for the ceremony.It is about time to change the way we celebrate this festival, I think. The idea of blessing new 20yearolds is not so bad. But there seems to be some other ways to celebrate more properly. The present way seems to me a little superficial and materialistic. It can provide solution less arguments between different generations, instead of friendships and respects. Instead of eternally complaining about the young's behaviors at the ceremonies, people should consider how they can make their ceremonies worthier, I feel###Did the Japanese young people enjoy theComingofAge ceremony? Why or why not###Possible answers:No, they didn´t. As we can see from the passage, most ofthe seats were empty during the speech.This suggests this ceremony wasn´t welcomed by the youth. Many refused to attend it. During the speech,many of the 20-year-olds who did show up ignored the professor and spoke among themselves or talked on their mobile phones. We can infer from theirbehaviorthat theyweren´tinterested in the speech at all. Therefore, the Japanese young people didn´t enjoy this festival."
9016_1,"Read the passage and finish the following tasks.Yesterday's paper had a short article about the ComingofAgeceremony in a large city in Japan. According to the article, the mayor of the city formally apologized to an enraged professor who delivered a speech at the ceremony that was all but ignored by 20yearolds in the city.The officials prepared 7,000 seats in a gymnasium where the ceremony was held for the 17,000 twentyyearolds residing in the city. But most of the seats were empty during the speech. And many of the 20yearolds who did show up ignored the professor and spoke among themselves or talked on their mobile phones. Some even made a ruckus (骚动) outside the gymnasium.One 20yearold who attended the ceremony said youngsters came to the ceremony not to listen to speeches but to see their classmates. The mayor criticized the young generation at a news conference on Tuesday, saying such behavior ""issymbolic of the postwar era which failed to nurture healthy character and social intelligence.""Personally I feel people should not generalize the whole generation or the whole era when he criticizes something. But it is also true generation gap is getting bigger and bigger regarding the ceremony of ComingofAge Day. So far this ceremony has been held with citizens' tax money. Many older generations understand this festival as an entrance ceremony of adults' world which requires maturity including responsibility, patience, and cooperativeness. Older people tend to be ""educational"" to younger ones, while younger people tend to feel they finally obtain a right to behave freely because they are now adults. Though, ironically, young people have to ask their parents to buy them new clothes for the ceremony.It is about time to change the way we celebrate this festival, I think. The idea of blessing new 20yearolds is not so bad. But there seems to be some other ways to celebrate more properly. The present way seems to me a little superficial and materialistic. It can provide solution less arguments between different generations, instead of friendships and respects. Instead of eternally complaining about the young's behaviors at the ceremonies, people should consider how they can make their ceremonies worthier, I feel###What is the author’s opinion towards theComingofAge ceremonyin Japan###A、It is worth holding such a festival.B、It is not a proper way to bless the youth.C、It is unnecessary to celebrate the20-year-olds.D、It is a chance for adults to communicate with the youth. "
