1,《联合国家宣言》的发表标志着 A、国际联盟成立B、联合国成立C、苏联成立D、国际反法西斯联盟建立
2,下列各项不属于雅尔塔会议内容的是 A、决定开辟欧洲第二战场B、对德国实施分区占领C、在欧洲战争结束三个月之内，苏联参加对日作战D、决定成立联合国
3,某班要制作一期“一五计划成就”板报他可以运用的图片资料有 A、①②③B、①②④C、①③④D、②③④
4,下列材料中可以用来说明秦朝实行君主专制的是 A、秦朝以前，官吏和私人的印章均可称玺，至秦朝，只有天子的印才能叫玺，而且用玉制作，群臣不敢再用。B、秦朝以前，各国大多实行分封制，个别国家分封制和郡县制并行，至秦朝，各地统一实行郡县制，不再分封诸侯。C、秦朝以前，各国货币各不相同，至秦朝，统一货币为圆形方孔钱。D、秦朝以前，思想领域百家争鸣，至秦朝，只用法家思想。
5,美国学者亨廷顿说“美国是目前世界上唯一的超级大国在解决重大国际问题时如果没有其他大国合作美国也孤掌难鸣……其他大国在解决国际重大问题时所采取的联合行动如若得不到美国的支持这种行动也是劳而无功的”以上描述反映的是 A、凡尔赛——华盛顿体系B、两极格局C、一超多强的局面D、多极格局形成
6,《国富论》（1776）对（别针工厂）的描述“一个人抽出金属丝另一个人拉直第三个人切断第四个人削尖第五个人打磨顶部做出头……共有18道工序”这直接反映出工厂 A、规模庞大B、分工细致C、解放人力D、技术革新
7,春秋时期齐桓公和晋文公先后称霸他们能成就霸业的相同因素不包括 A、训练军队B、改革内政C、发展生产D、尊王攘夷
8,下列科技文化成就属于秦汉时期的是①司母戊鼎②造纸术③《史记》④《三国演义》 A、①②B、②③C、③④D、①④
9,汉武帝巩固“大一统”王朝的措施是 A、创立皇帝制度B、实施“推恩令”C、将小篆作为统一文字D、创建三省六部制
10,下列各项科技成就中属于秦汉时期并在当时具有世界先进水平的是①蔡伦改进造纸术②最早记录哈雷彗星③毕昇发明活字印刷术④华佗制成“麻沸散” A、①②B、②④C、③④D、①④
11,下列关于戊戌变法影响的说法正确的是 A、出现了中国第一批近代企业B、在社会上起到了思想启蒙的作用C、使民主共和观念深入人心D、为马克思主义在中国的传播创造了条件
12,"某历史小组策划以影视作品的片段来生动地体现“工业文明的兴起”这一研究主题以下几部作品的内容可以选入的是 A、①②③B、①②④C、①③④D,②③④"
13,下表是《史记》和《宋书》（记录南朝宋一代的历史）对江南地区的不同记载江南地区发生上述变化的原因是 A、西晋少数民族内迁B、北人南迁和江南地区开发C、吴国注重发展生产D、江南地区引进高产农作物
14,民国初年流行一些歌谣如“结婚证书当堂读请个前辈来证婚”、“洋帽洋衣洋式鞋短胡两撇口边开”、“改良的头改良的花改良的姑娘大脚丫”这些歌谣共同反映了 A、民众实现了婚姻自主B、社会习俗发生变化C、传统观念被彻底颠覆D、男女平等成为共识
15,“红军、游击队和红色区域的建立和发展是半殖民地中国在无产阶级领导之下的农民斗争的最高形式和半殖民地农民斗争发展的必然结果”应出自毛泽东哪一部著作 A、《中国社会各阶级分析》B、《论联合政府》C、《星星之火，可以燎原》D、《人民民主专政》
16,唐朝由盛转衰的转折点是 A、安史之乱B、藩镇割据C、宦官专权D、三藩之乱
17,与“一大”相比中共“二大”最重要的贡献是 A、修正了现阶段党的奋斗目标B、确立了民主集中制的组织原则C、明确了党的中心任务D、提出了为共产主义奋斗的目标
18,在亚洲挑起第二次世界大战的法西斯国家是 A、德国B、日本C、美国D、意大利
19,下列语句与秦末农民战争直接原因相关的是 A、会天大雨，道不通，度已失期。失期，法当斩。B、天下苦秦久矣。C、燕雀安知鸿鹄之志哉！D、王侯将相宁有种乎！
20,图示法能将复杂的历史以比较直观的形象表现出来下列能较准确反映三国鼎立局势的图示是 A、图①B、图②C、图③D、图④
21,工业革命中机器的发明与使用最早出现于 A、棉纺织业B、冶金业C、采矿业D、交通运输业
22,20世纪70年代中国取得的外交成就是 A、提出和平共处五项原则B、加入亚太经合组织C、加入世界贸易组织D、恢复在联合国的合法权利
23,1814年一位意大利爱国者写道：“我这样说是痛苦的因为没有人比我更意识到我们应该向拿破仑表示感谢没有人比我更懂得湿润意大利土壤并使之恢复生气的每一滴慷慨的法国人鲜血的价值但是我必须说这样一句真实的话：看到法国人离开是一种巨大的、说不出的欢乐”这位爱国者这样“说”反映了①法国革命传播了公民平等的思想②意大利的封建君主制度受到冲击③意大利人民抗拒法国的武力征服④“百日政变”打击了波旁王朝 A、①②③B、②③④C、①③④D、①②④
24,宋代画家张择端笔下的《清明上河图》反映了什么样的社会景象 A、政权并立B、强干弱枝C、对外交往D、商业繁荣
