2,如果一个命题的逆命题是真命题那么这个命题的 A、否命题必是真命题B、否命题必是假命题C、原命题必是假命题D、逆否命题必是真命题
3,若抛物线y=（x-2m）²+3m-1（m是常数）与直线y=x+1有两个交点且这两个交点分别在抛物线对称轴的两侧则的取值范围是 A、m＜2B、m＞2C、D、
4,如图要在宽为22米的九州大道两边安装路灯路灯的灯臂CD长2米且与灯柱BC成120°角路灯采用圆锥形灯罩灯罩的轴线DO与灯臂CD垂直当灯罩的轴线DO通过公路路面的中心线时照明效果最佳此时路灯的灯柱BC高度应该设计为‎ A、（11-2√2）米B、（11√3-2√2）米C、（11-2√3）米D、（11√3-4）米
6,下列命题：①空集没有子集；②任何集合至少有两个子集；③空集是任何集合的真子集；④若∅⊊A则A≠∅其中正确的有 A、0个B、1个C、2个D、3个
7,在平面直角坐标系中下列四个点在直线上的是 
8,用“加减消元法”将方程组中的消去后可以得到的方程是 
9,已知变量y与x满足反比例函数关系部分数据制成下面的表格则下列说法错误的是 A、y与x的关系式为B、由表格数据可知a+b=25C、点（-5，-12）也在该函数图象上D、函数图象经过第一、第四象限
12,化简的结果是 A、3B、－3C、D、
13,如图1△ABC中∠C=90°AB的垂直平分线交AC于点D连接BD.若AC=2BC=1则线段BD的长为?size=960 
14,分式方程的解是 
15,下列说法错误的是 A、太阳光所形成的投影是平行投影B、在一天的不同时刻，同一棵树所形成的影子长度不可能一样C、在一天中，不论太阳怎样变化，两棵相邻树的影子都是平行的D、影子的长度不仅和太阳的位置有关，还与事物本身的长度有关
18,下列方程组中是二元一次方程组的是 
19,如图射线ABBCCDDA构成∠1∠2∠3∠4计算∠1+∠2+∠3+∠4为 A、90°B、120°C、180°D、360°
20,如图所示小明和小龙做转陀螺游戏他们同时分别转动一个陀螺当两个陀螺都停下来时与桌面相接触的边上的数字都是奇数的概率是 
21,如果函数y=kx+b(k≠0)的图象在第一、二、三象限那么函数y=kx²+bx+1的图象大致为 
23,下列影子是中心投影的是 A、路灯下行人的影子B、阳光下旗杆的影子C、阳光下大树的影子D、阳光下楼房的影子
24,如图所示的是已知∠BAC用尺规作图法作∠EDF=∠BAC则下列说法正确的是 A、因为边的长度对角的大小无影响，所以弧BC的半径长度可以任意选取B、因为边的长度对角的大小无影响，所以弧EF的半径长度可以任意选取C、因为边的长度对角的大小无影响，所以DE的长度可以任意选取D、以上三种说法都正确
25,如图是一个数值运算的程序若输出的y值为3则输入的x值为 A、3.5B、-3.5C、7D、-7
26,若分别是关于x的2次多项式与3次多项式则 A、一定是2次或3次多项式B、一定是5次多项式C、一定是6次多项式D、无法确定次数
31,运动员将足球沿与地面成一定角度的方向踢出足球飞行的路线可以看作是一条抛物线不考虑空气阻力足球距离地面的高度y（单位：m）与足球被踢出后经过的时间x（单位：s）近似满足函数关系如图记录了3个时刻的数据根据函数模型和所给数据可推断出足球飞行到最高点时最接近的时刻x是 A、4B、4.5C、5D、6
32,3的倒数是 
